,O*NET-SOC Code,Title,Description,Description_Abilities,Description_Knowledge,Description_Skills,Description_Tech,Description_Interests,Description_Job
0,11-1011.00,Chief Executives,"Determine and formulate policies and provide overall direction of companies or private and public sector organizations within guidelines set up by a board of directors or similar governing body. Plan, direct, or coordinate operational activities at the highest level of management with the help of subordinate executives and staff managers.",Abilities:The ability to listen to and understand information and ideas presented through spoken words and sentences. The ability to communicate information and ideas in speaking so others will understand. The ability to read and understand information and ideas presented in writing.,"Knowledge:Knowledge of business and management principles involved in strategic planning, resource allocation, human resources modeling, leadership technique, production methods, and coordination of people and resources. Knowledge of business and management principles involved in strategic planning, resource allocation, human resources modeling, leadership technique, production methods, and coordination of people and resources. Knowledge of principles and procedures for personnel recruitment, selection, training, compensation and benefits, labor relations and negotiation, and personnel information systems.","Skills:Considering the relative costs and benefits of potential actions to choose the most appropriate one. Using logic and reasoning to identify the strengths and weaknesses of alternative solutions, conclusions, or approaches to problems. Identifying complex problems and reviewing related information to develop and evaluate options and implement solutions.",Tech:Microsoft Excel Microsoft Office software Microsoft PowerPoint,"Interests:Work involves managing, negotiating, marketing, or selling, typically in a business setting, or leading or advising people in political and legal situations. Enterprising occupations are often associated with business initiatives, sales, marketing/advertising, finance, management/administration, professional advising, public speaking, politics, or law. Secondary-Cutoff/Rank Descriptiveness Primary-Rank Descriptiveness","Chief Executives Determine and formulate policies and provide overall direction of companies or private and public sector organizations within guidelines set up by a board of directors or similar governing body. Plan, direct, or coordinate operational activities at the highest level of management with the help of subordinate executives and staff managers. Abilities:The ability to listen to and understand information and ideas presented through spoken words and sentences. The ability to communicate information and ideas in speaking so others will understand. The ability to read and understand information and ideas presented in writing. Knowledge:Knowledge of business and management principles involved in strategic planning, resource allocation, human resources modeling, leadership technique, production methods, and coordination of people and resources. Knowledge of business and management principles involved in strategic planning, resource allocation, human resources modeling, leadership technique, production methods, and coordination of people and resources. Knowledge of principles and procedures for personnel recruitment, selection, training, compensation and benefits, labor relations and negotiation, and personnel information systems. Skills:Considering the relative costs and benefits of potential actions to choose the most appropriate one. Using logic and reasoning to identify the strengths and weaknesses of alternative solutions, conclusions, or approaches to problems. Identifying complex problems and reviewing related information to develop and evaluate options and implement solutions. Tech:Microsoft Excel Microsoft Office software Microsoft PowerPoint Interests:Work involves managing, negotiating, marketing, or selling, typically in a business setting, or leading or advising people in political and legal situations. Enterprising occupations are often associated with business initiatives, sales, marketing/advertising, finance, management/administration, professional advising, public speaking, politics, or law. Secondary-Cutoff/Rank Descriptiveness Primary-Rank Descriptiveness"
1,11-1011.03,Chief Sustainability Officers,"Communicate and coordinate with management, shareholders, customers, and employees to address sustainability issues. Enact or oversee a corporate sustainability strategy.",Abilities:The ability to communicate information and ideas in writing so others will understand. The ability to listen to and understand information and ideas presented through spoken words and sentences. The ability to read and understand information and ideas presented in writing.,"Knowledge:Knowledge of the structure and content of the English language including the meaning and spelling of words, rules of composition, and grammar. Knowledge of business and management principles involved in strategic planning, resource allocation, human resources modeling, leadership technique, production methods, and coordination of people and resources. Knowledge of laws, legal codes, court procedures, precedents, government regulations, executive orders, agency rules, and the democratic political process.","Skills:Communicating effectively in writing as appropriate for the needs of the audience. Using logic and reasoning to identify the strengths and weaknesses of alternative solutions, conclusions, or approaches to problems. Understanding written sentences and paragraphs in work-related documents.",Tech:Management information systems MIS Microsoft Excel Microsoft Office software Microsoft Outlook Microsoft PowerPoint,"Interests:Work involves managing, negotiating, marketing, or selling, typically in a business setting, or leading or advising people in political and legal situations. Enterprising occupations are often associated with business initiatives, sales, marketing/advertising, finance, management/administration, professional advising, public speaking, politics, or law. Secondary-Cutoff/Rank Descriptiveness Primary-Rank Descriptiveness","Chief Sustainability Officers Communicate and coordinate with management, shareholders, customers, and employees to address sustainability issues. Enact or oversee a corporate sustainability strategy. Abilities:The ability to communicate information and ideas in writing so others will understand. The ability to listen to and understand information and ideas presented through spoken words and sentences. The ability to read and understand information and ideas presented in writing. Knowledge:Knowledge of the structure and content of the English language including the meaning and spelling of words, rules of composition, and grammar. Knowledge of business and management principles involved in strategic planning, resource allocation, human resources modeling, leadership technique, production methods, and coordination of people and resources. Knowledge of laws, legal codes, court procedures, precedents, government regulations, executive orders, agency rules, and the democratic political process. Skills:Communicating effectively in writing as appropriate for the needs of the audience. Using logic and reasoning to identify the strengths and weaknesses of alternative solutions, conclusions, or approaches to problems. Understanding written sentences and paragraphs in work-related documents. Tech:Management information systems MIS Microsoft Excel Microsoft Office software Microsoft Outlook Microsoft PowerPoint Interests:Work involves managing, negotiating, marketing, or selling, typically in a business setting, or leading or advising people in political and legal situations. Enterprising occupations are often associated with business initiatives, sales, marketing/advertising, finance, management/administration, professional advising, public speaking, politics, or law. Secondary-Cutoff/Rank Descriptiveness Primary-Rank Descriptiveness"
2,11-1021.00,General and Operations Managers,"Plan, direct, or coordinate the operations of public or private sector organizations, overseeing multiple departments or locations. Duties and responsibilities include formulating policies, managing daily operations, and planning the use of materials and human resources, but are too diverse and general in nature to be classified in any one functional area of management or administration, such as personnel, purchasing, or administrative services. Usually manage through subordinate supervisors. Excludes First-Line Supervisors.",Abilities:The ability to listen to and understand information and ideas presented through spoken words and sentences. The ability to read and understand information and ideas presented in writing. The ability to communicate information and ideas in speaking so others will understand.,"Knowledge:Knowledge of business and management principles involved in strategic planning, resource allocation, human resources modeling, leadership technique, production methods, and coordination of people and resources. Knowledge of principles and processes for providing customer and personal services. This includes customer needs assessment, meeting quality standards for services, and evaluation of customer satisfaction. Knowledge of the structure and content of the English language including the meaning and spelling of words, rules of composition, and grammar.","Skills:Understanding written sentences and paragraphs in work-related documents. Giving full attention to what other people are saying, taking time to understand the points being made, asking questions as appropriate, and not interrupting at inappropriate times. Talking to others to convey information effectively.",Tech:Microsoft Excel Microsoft Office software Microsoft Outlook Microsoft PowerPoint,"Interests:Work involves managing, negotiating, marketing, or selling, typically in a business setting, or leading or advising people in political and legal situations. Enterprising occupations are often associated with business initiatives, sales, marketing/advertising, finance, management/administration, professional advising, public speaking, politics, or law. Secondary-Cutoff/Rank Descriptiveness Primary-Rank Descriptiveness","General and Operations Managers Plan, direct, or coordinate the operations of public or private sector organizations, overseeing multiple departments or locations. Duties and responsibilities include formulating policies, managing daily operations, and planning the use of materials and human resources, but are too diverse and general in nature to be classified in any one functional area of management or administration, such as personnel, purchasing, or administrative services. Usually manage through subordinate supervisors. Excludes First-Line Supervisors. Abilities:The ability to listen to and understand information and ideas presented through spoken words and sentences. The ability to read and understand information and ideas presented in writing. The ability to communicate information and ideas in speaking so others will understand. Knowledge:Knowledge of business and management principles involved in strategic planning, resource allocation, human resources modeling, leadership technique, production methods, and coordination of people and resources. Knowledge of principles and processes for providing customer and personal services. This includes customer needs assessment, meeting quality standards for services, and evaluation of customer satisfaction. Knowledge of the structure and content of the English language including the meaning and spelling of words, rules of composition, and grammar. Skills:Understanding written sentences and paragraphs in work-related documents. Giving full attention to what other people are saying, taking time to understand the points being made, asking questions as appropriate, and not interrupting at inappropriate times. Talking to others to convey information effectively. Tech:Microsoft Excel Microsoft Office software Microsoft Outlook Microsoft PowerPoint Interests:Work involves managing, negotiating, marketing, or selling, typically in a business setting, or leading or advising people in political and legal situations. Enterprising occupations are often associated with business initiatives, sales, marketing/advertising, finance, management/administration, professional advising, public speaking, politics, or law. Secondary-Cutoff/Rank Descriptiveness Primary-Rank Descriptiveness"
3,11-1031.00,Legislators,"Develop, introduce, or enact laws and statutes at the local, tribal, state, or federal level. Includes only workers in elected positions.",,,,,"Interests:Work involves managing, negotiating, marketing, or selling, typically in a business setting, or leading or advising people in political and legal situations. Enterprising occupations are often associated with business initiatives, sales, marketing/advertising, finance, management/administration, professional advising, public speaking, politics, or law. Primary-Rank Descriptiveness Work involves helping, teaching, advising, assisting, or providing service to others. Social occupations are often associated with social, health care, personal service, teaching/education, or religious activities.","Legislators Develop, introduce, or enact laws and statutes at the local, tribal, state, or federal level. Includes only workers in elected positions.     Interests:Work involves managing, negotiating, marketing, or selling, typically in a business setting, or leading or advising people in political and legal situations. Enterprising occupations are often associated with business initiatives, sales, marketing/advertising, finance, management/administration, professional advising, public speaking, politics, or law. Primary-Rank Descriptiveness Work involves helping, teaching, advising, assisting, or providing service to others. Social occupations are often associated with social, health care, personal service, teaching/education, or religious activities."
4,11-2011.00,Advertising and Promotions Managers,"Plan, direct, or coordinate advertising policies and programs or produce collateral materials, such as posters, contests, coupons, or giveaways, to create extra interest in the purchase of a product or service for a department, an entire organization, or on an account basis.",Abilities:The ability to communicate information and ideas in speaking so others will understand. The ability to listen to and understand information and ideas presented through spoken words and sentences. The ability to read and understand information and ideas presented in writing.,"Knowledge:Knowledge of principles and methods for showing, promoting, and selling products or services. This includes marketing strategy and tactics, product demonstration, sales techniques, and sales control systems. Knowledge of the structure and content of the English language including the meaning and spelling of words, rules of composition, and grammar. Knowledge of media production, communication, and dissemination techniques and methods. This includes alternative ways to inform and entertain via written, oral, and visual media.","Skills:Giving full attention to what other people are saying, taking time to understand the points being made, asking questions as appropriate, and not interrupting at inappropriate times. Talking to others to convey information effectively. Using logic and reasoning to identify the strengths and weaknesses of alternative solutions, conclusions, or approaches to problems.",Tech:Adobe Systems Adobe Photoshop Hypertext markup language HTML Microsoft Excel Microsoft Office software Microsoft Outlook Microsoft PowerPoint Microsoft Word,"Interests:Work involves managing, negotiating, marketing, or selling, typically in a business setting, or leading or advising people in political and legal situations. Enterprising occupations are often associated with business initiatives, sales, marketing/advertising, finance, management/administration, professional advising, public speaking, politics, or law. Tertiary-Cutoff/Rank Descriptiveness Primary-Rank Descriptiveness","Advertising and Promotions Managers Plan, direct, or coordinate advertising policies and programs or produce collateral materials, such as posters, contests, coupons, or giveaways, to create extra interest in the purchase of a product or service for a department, an entire organization, or on an account basis. Abilities:The ability to communicate information and ideas in speaking so others will understand. The ability to listen to and understand information and ideas presented through spoken words and sentences. The ability to read and understand information and ideas presented in writing. Knowledge:Knowledge of principles and methods for showing, promoting, and selling products or services. This includes marketing strategy and tactics, product demonstration, sales techniques, and sales control systems. Knowledge of the structure and content of the English language including the meaning and spelling of words, rules of composition, and grammar. Knowledge of media production, communication, and dissemination techniques and methods. This includes alternative ways to inform and entertain via written, oral, and visual media. Skills:Giving full attention to what other people are saying, taking time to understand the points being made, asking questions as appropriate, and not interrupting at inappropriate times. Talking to others to convey information effectively. Using logic and reasoning to identify the strengths and weaknesses of alternative solutions, conclusions, or approaches to problems. Tech:Adobe Systems Adobe Photoshop Hypertext markup language HTML Microsoft Excel Microsoft Office software Microsoft Outlook Microsoft PowerPoint Microsoft Word Interests:Work involves managing, negotiating, marketing, or selling, typically in a business setting, or leading or advising people in political and legal situations. Enterprising occupations are often associated with business initiatives, sales, marketing/advertising, finance, management/administration, professional advising, public speaking, politics, or law. Tertiary-Cutoff/Rank Descriptiveness Primary-Rank Descriptiveness"
5,11-2021.00,Marketing Managers,"Plan, direct, or coordinate marketing policies and programs, such as determining the demand for products and services offered by a firm and its competitors, and identify potential customers. Develop pricing strategies with the goal of maximizing the firm's profits or share of the market while ensuring the firm's customers are satisfied. Oversee product development or monitor trends that indicate the need for new products and services.",Abilities:The ability to listen to and understand information and ideas presented through spoken words and sentences. The ability to read and understand information and ideas presented in writing. The ability to communicate information and ideas in speaking so others will understand.,"Knowledge:Knowledge of principles and methods for showing, promoting, and selling products or services. This includes marketing strategy and tactics, product demonstration, sales techniques, and sales control systems. Knowledge of the structure and content of the English language including the meaning and spelling of words, rules of composition, and grammar. Knowledge of principles and methods for showing, promoting, and selling products or services. This includes marketing strategy and tactics, product demonstration, sales techniques, and sales control systems.","Skills:Understanding written sentences and paragraphs in work-related documents. Giving full attention to what other people are saying, taking time to understand the points being made, asking questions as appropriate, and not interrupting at inappropriate times. Talking to others to convey information effectively.",Tech:Microsoft Excel Microsoft Office software Microsoft PowerPoint Software as a service SaaS,"Interests:Work involves managing, negotiating, marketing, or selling, typically in a business setting, or leading or advising people in political and legal situations. Enterprising occupations are often associated with business initiatives, sales, marketing/advertising, finance, management/administration, professional advising, public speaking, politics, or law. Secondary-Cutoff/Rank Descriptiveness Primary-Rank Descriptiveness","Marketing Managers Plan, direct, or coordinate marketing policies and programs, such as determining the demand for products and services offered by a firm and its competitors, and identify potential customers. Develop pricing strategies with the goal of maximizing the firm's profits or share of the market while ensuring the firm's customers are satisfied. Oversee product development or monitor trends that indicate the need for new products and services. Abilities:The ability to listen to and understand information and ideas presented through spoken words and sentences. The ability to read and understand information and ideas presented in writing. The ability to communicate information and ideas in speaking so others will understand. Knowledge:Knowledge of principles and methods for showing, promoting, and selling products or services. This includes marketing strategy and tactics, product demonstration, sales techniques, and sales control systems. Knowledge of the structure and content of the English language including the meaning and spelling of words, rules of composition, and grammar. Knowledge of principles and methods for showing, promoting, and selling products or services. This includes marketing strategy and tactics, product demonstration, sales techniques, and sales control systems. Skills:Understanding written sentences and paragraphs in work-related documents. Giving full attention to what other people are saying, taking time to understand the points being made, asking questions as appropriate, and not interrupting at inappropriate times. Talking to others to convey information effectively. Tech:Microsoft Excel Microsoft Office software Microsoft PowerPoint Software as a service SaaS Interests:Work involves managing, negotiating, marketing, or selling, typically in a business setting, or leading or advising people in political and legal situations. Enterprising occupations are often associated with business initiatives, sales, marketing/advertising, finance, management/administration, professional advising, public speaking, politics, or law. Secondary-Cutoff/Rank Descriptiveness Primary-Rank Descriptiveness"
6,11-2022.00,Sales Managers,"Plan, direct, or coordinate the actual distribution or movement of a product or service to the customer. Coordinate sales distribution by establishing sales territories, quotas, and goals and establish training programs for sales representatives. Analyze sales statistics gathered by staff to determine sales potential and inventory requirements and monitor the preferences of customers.",Abilities:The ability to listen to and understand information and ideas presented through spoken words and sentences. The ability to read and understand information and ideas presented in writing. The ability to communicate information and ideas in speaking so others will understand.,"Knowledge:Knowledge of principles and methods for showing, promoting, and selling products or services. This includes marketing strategy and tactics, product demonstration, sales techniques, and sales control systems. Knowledge of principles and processes for providing customer and personal services. This includes customer needs assessment, meeting quality standards for services, and evaluation of customer satisfaction. Knowledge of principles and methods for showing, promoting, and selling products or services. This includes marketing strategy and tactics, product demonstration, sales techniques, and sales control systems.","Skills:Persuading others to change their minds or behavior. Giving full attention to what other people are saying, taking time to understand the points being made, asking questions as appropriate, and not interrupting at inappropriate times. Talking to others to convey information effectively.",Tech:Microsoft Excel Microsoft Office software Microsoft Outlook Microsoft PowerPoint,"Interests:Work involves managing, negotiating, marketing, or selling, typically in a business setting, or leading or advising people in political and legal situations. Enterprising occupations are often associated with business initiatives, sales, marketing/advertising, finance, management/administration, professional advising, public speaking, politics, or law. Secondary-Cutoff/Rank Descriptiveness Primary-Rank Descriptiveness","Sales Managers Plan, direct, or coordinate the actual distribution or movement of a product or service to the customer. Coordinate sales distribution by establishing sales territories, quotas, and goals and establish training programs for sales representatives. Analyze sales statistics gathered by staff to determine sales potential and inventory requirements and monitor the preferences of customers. Abilities:The ability to listen to and understand information and ideas presented through spoken words and sentences. The ability to read and understand information and ideas presented in writing. The ability to communicate information and ideas in speaking so others will understand. Knowledge:Knowledge of principles and methods for showing, promoting, and selling products or services. This includes marketing strategy and tactics, product demonstration, sales techniques, and sales control systems. Knowledge of principles and processes for providing customer and personal services. This includes customer needs assessment, meeting quality standards for services, and evaluation of customer satisfaction. Knowledge of principles and methods for showing, promoting, and selling products or services. This includes marketing strategy and tactics, product demonstration, sales techniques, and sales control systems. Skills:Persuading others to change their minds or behavior. Giving full attention to what other people are saying, taking time to understand the points being made, asking questions as appropriate, and not interrupting at inappropriate times. Talking to others to convey information effectively. Tech:Microsoft Excel Microsoft Office software Microsoft Outlook Microsoft PowerPoint Interests:Work involves managing, negotiating, marketing, or selling, typically in a business setting, or leading or advising people in political and legal situations. Enterprising occupations are often associated with business initiatives, sales, marketing/advertising, finance, management/administration, professional advising, public speaking, politics, or law. Secondary-Cutoff/Rank Descriptiveness Primary-Rank Descriptiveness"
7,11-2032.00,Public Relations Managers,"Plan, direct, or coordinate activities designed to create or maintain a favorable public image or raise issue awareness for their organization or client.",,,,Tech:Microsoft Excel Microsoft Office software Microsoft Outlook Microsoft PowerPoint,,"Public Relations Managers Plan, direct, or coordinate activities designed to create or maintain a favorable public image or raise issue awareness for their organization or client.    Tech:Microsoft Excel Microsoft Office software Microsoft Outlook Microsoft PowerPoint "
8,11-2033.00,Fundraising Managers,"Plan, direct, or coordinate activities to solicit and maintain funds for special projects or nonprofit organizations.",,,,Tech:Microsoft Excel Microsoft Office software Microsoft Outlook Microsoft PowerPoint Microsoft Word,,"Fundraising Managers Plan, direct, or coordinate activities to solicit and maintain funds for special projects or nonprofit organizations.    Tech:Microsoft Excel Microsoft Office software Microsoft Outlook Microsoft PowerPoint Microsoft Word "
9,11-3012.00,Administrative Services Managers,"Plan, direct, or coordinate one or more administrative services of an organization, such as records and information management, mail distribution, and other office support services.",Abilities:The ability to listen to and understand information and ideas presented through spoken words and sentences. The ability to read and understand information and ideas presented in writing. The ability to communicate information and ideas in speaking so others will understand.,"Knowledge:Knowledge of principles and processes for providing customer and personal services. This includes customer needs assessment, meeting quality standards for services, and evaluation of customer satisfaction. Knowledge of business and management principles involved in strategic planning, resource allocation, human resources modeling, leadership technique, production methods, and coordination of people and resources. Knowledge of the structure and content of the English language including the meaning and spelling of words, rules of composition, and grammar.","Skills:Understanding written sentences and paragraphs in work-related documents. Giving full attention to what other people are saying, taking time to understand the points being made, asking questions as appropriate, and not interrupting at inappropriate times. Managing one's own time and the time of others.",Tech:Microsoft Excel Microsoft Office software Microsoft Outlook Microsoft PowerPoint Microsoft Word,"Interests:Work involves managing, negotiating, marketing, or selling, typically in a business setting, or leading or advising people in political and legal situations. Enterprising occupations are often associated with business initiatives, sales, marketing/advertising, finance, management/administration, professional advising, public speaking, politics, or law. Secondary-Cutoff/Rank Descriptiveness Primary-Rank Descriptiveness","Administrative Services Managers Plan, direct, or coordinate one or more administrative services of an organization, such as records and information management, mail distribution, and other office support services. Abilities:The ability to listen to and understand information and ideas presented through spoken words and sentences. The ability to read and understand information and ideas presented in writing. The ability to communicate information and ideas in speaking so others will understand. Knowledge:Knowledge of principles and processes for providing customer and personal services. This includes customer needs assessment, meeting quality standards for services, and evaluation of customer satisfaction. Knowledge of business and management principles involved in strategic planning, resource allocation, human resources modeling, leadership technique, production methods, and coordination of people and resources. Knowledge of the structure and content of the English language including the meaning and spelling of words, rules of composition, and grammar. Skills:Understanding written sentences and paragraphs in work-related documents. Giving full attention to what other people are saying, taking time to understand the points being made, asking questions as appropriate, and not interrupting at inappropriate times. Managing one's own time and the time of others. Tech:Microsoft Excel Microsoft Office software Microsoft Outlook Microsoft PowerPoint Microsoft Word Interests:Work involves managing, negotiating, marketing, or selling, typically in a business setting, or leading or advising people in political and legal situations. Enterprising occupations are often associated with business initiatives, sales, marketing/advertising, finance, management/administration, professional advising, public speaking, politics, or law. Secondary-Cutoff/Rank Descriptiveness Primary-Rank Descriptiveness"
